X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-78.76666667,0.3,train,0.010467740714889817,82.92469926699044,0.9964397417302328
-78.843108,0.05295,train,0.00362167281099315,50.923105216442494,0.8578158103791766
-79.13557303,-0.959317154,train,0.0031968197134057985,49.21087130155742,0.8212569883204439
-78.85736,0.31026,train,0.014808288516258154,98.5170934073064,0.9996562995302951
-78.8836813,0.0443573,train,0.0019314032794570698,39.11645859033495,0.6466348226996048
-78.71666667,0.966666667,train,1.5968456941415658E-4,12.614055374595189,0.08241133299221992
-78.349896,0.81665,train,4.0489453858872276E-4,21.872866666727834,0.19593573707915757
-79.7498,0.35878,train,0.009792271045386642,81.87770172012885,0.9948775089040246
-78.758,0.1289,train,0.007530568028306622,70.41010914080871,0.9826811852496429
-78.74874,0.11354,train,0.005927755133901445,65.56652929762058,0.958938619191743
-78.98333333,0.1,train,0.007734490010305145,71.9385389824539,0.9844826128549766
-79.0559328,0.4547852,train,0.008387753917021722,73.60246211979099,0.9890852684938107
-78.849928,0.160629,train,0.004824584348847683,60.22201363699714,0.9256163981021847
-79.713113,0.3356967,train,0.012283843285147186,93.08752353169768,0.9986613244105551
-79.713249,0.32875919,train,0.011597264954970054,90.64418747660216,0.9980623582252945
-79.733679,0.39641906,train,0.0038125090661347075,52.774180089464416,0.8717041437140314
-79.707657,0.3508373,train,0.011035687659505808,88.3565092243071,0.9973780009418028
-79.706552,0.35351446,train,0.01078845070180979,85.06896250846233,0.9970045370867247
-79.703165,0.35109897,train,0.010824332738492499,86.15199606138252,0.9970618717561752
-79.21164,0.52100524,train,0.008974580684467584,77.10733700584254,0.9920430269289328
-79.202235,0.48917181,train,0.01262960183761976,94.35032891289383,0.9988887835673729
-79.188274,0.49823791,train,0.014828937698619774,100.0,0.9996601008667491
-79.66992,0.36833377,train,0.009428868267683077,78.97319776789112,0.9937700425917309
-79.788261,0.40246048,train,0.0036441160778812377,51.2874075316078,0.8595241778130459
-79.781752,0.4297038,train,0.00545818242513393,63.82222172453837,0.9471224021421556
-79.754614,0.45214043,train,0.002600085771700926,43.436096394170015,0.753503001343271
-78.887276,0.16697144,train,0.01337745676278141,95.6879939649199,0.9992572079487988
-78.88864,0.16806556,train,0.011019907775308221,87.25434546914556,0.9973556214966678
-78.888721,0.168599,train,0.012146686601064209,91.85895149028798,0.9985586887199424
-78.877882,0.16544248,train,0.009523657454490297,79.92554614597893,0.9940801206595268
-77.2,2.67,train,3.622596131776659E-5,3.7190707747405303,0.019322179199811385
-78.608,1.021,train,0.001050377171539233,30.603882430500086,0.4320562220113595
-77.85,1.9,train,1.2227009511676763E-4,10.378793513066913,0.06373304857656914
-76.95,2.5333,train,4.2987983018283114E-5,4.282818048575479,0.022887334225974332
-76.914948,2.519006,train,2.6568089090936157E-5,2.9600113799549055,0.01420767004702106
-78.994853,0.122652,train,0.0069228606025278,67.4907247689795,0.9759747702912851
-78.065,1.333833,train,5.209351738610502E-4,24.641305942120194,0.24465111515531734
-79.8001,0.4667,train,0.0033539984764186263,50.20264154687843,0.8357659330156737
-78.7685,0.0736,train,0.0012831875796203438,32.82021164884931,0.4989876199554445
-78.921875,0.098107,train,0.009729012751078951,80.89851558106282,0.9946999738085053
-78.822098,0.080681,train,0.004487523985853602,56.91297874706636,0.9108093575204999
-76.37592,7.185228,train,1.3913837440945884E-4,11.400816079898862,0.07220074451104042
-79.25,0.45,test,4.627705475756513E-4,23.20468826019083,0.22061340555571252
-78.83333333,0.15,test,0.00359544061806841,50.68152834120431,0.8557926810979488
-78.5577393,0.9475276,test,9.402102071153941E-4,29.759482200472938,0.3973369041165431
-79.753239,0.45165175,test,0.004760597797860024,58.66069863002421,0.9230082209002558
-79.24601216,-1.308924596,test,0.002936390260456209,46.87211260465546,0.7943416462551309
-79.712566,0.3288586,test,0.011038047374271434,88.36856403231474,0.9973813312330064
-79.75,0.366,test,0.009248919271393694,78.12066265517316,0.9931360026594326
-79.24587204,-1.316602006,test,0.0034604791977446295,50.369710426365735,0.8449198373522258
-78.787003,0.321968,test,0.0025471458097157773,42.59189510321932,0.7463733595524646
-78.782272,0.848474,test,4.618439759986947E-5,4.556557802030696,0.024568072471528257
-79.757435,0.45321729,test,0.0022641864160318913,41.245405935337864,0.7046192755630307
-78.831024,0.102997,test,0.0030224414703886506,48.03229586595886,0.8036558164553371
-79.703479,0.35269093,test,0.010485242793441223,83.02146058045736,0.9964731452243837
