variable,x,y
ForCover2000,1.0,0.9776957035064697
ForCover2000,2.0,0.8611366152763367
ForCover2000,4.0,0.8611366152763367
ForCover2000,5.0,0.8611366152763367
ForCover2000,6.0,0.8611366152763367
