Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.45772E-4,16.251004453,0.120677301,0.048097988,0.142857143,0.153846154
2.53543E-4,16.500188019,0.124245708,0.047102171,0.142857143,0.153846154
2.61821E-4,16.7579152,0.128030593,0.046106353,0.142857143,0.153846154
2.68195E-4,17.02391723,0.130934123,0.045110536,0.142857143,0.153846154
2.73631E-4,17.268337715,0.133402519,0.0442143,0.142857143,0.153846154
2.79047E-4,17.517276285,0.135855303,0.043318064,0.142857143,0.153846154
2.90106E-4,17.774762469,0.140841498,0.042421828,0.142857143,0.153846154
3.03875E-4,18.015056224,0.147008951,0.041625174,0.142857143,0.153846154
3.10268E-4,18.261137819,0.149858032,0.04082852,0.142857143,0.153846154
3.1717E-4,18.512534845,0.152922653,0.040031866,0.142857143,0.153846154
3.22985E-4,18.768845902,0.155496297,0.039235212,0.142857143,0.153846154
3.28975E-4,19.030553536,0.158138914,0.038438558,0.142857143,0.153846154
3.34963E-4,19.2632006,0.160772477,0.037741486,0.142857143,0.153846154
3.49893E-4,19.503353271,0.167303245,0.037044413,0.142857143,0.153846154
3.57762E-4,19.75174484,0.17072483,0.036347341,0.142857143,0.153846154
3.68963E-4,20.006313075,0.175571338,0.035650269,0.142857143,0.153846154
3.76393E-4,20.267639012,0.178770472,0.034953197,0.142857143,0.153846154
3.94959E-4,20.500806714,0.186709948,0.034355706,0.142857143,0.153846154
4.05039E-4,20.781677597,0.190988053,0.033658634,0.142857143,0.153846154
4.12729E-4,21.027883717,0.194236977,0.033061143,0.142857143,0.153846154
4.20234E-4,21.277838421,0.197395334,0.032463653,0.142857143,0.153846154
4.35273E-4,21.533712422,0.203686329,0.031866162,0.142857143,0.153846154
4.39163E-4,21.75291758,0.205305425,0.031368253,0.142857143,0.153846154
4.46626E-4,22.019068825,0.208403024,0.030770763,0.142857143,0.153846154
4.60168E-4,22.2927921,0.21399232,0.030173272,0.142857143,0.153846154
4.67234E-4,22.525032512,0.216893241,0.029675363,0.142857143,0.153846154
4.74747E-4,22.761587158,0.219965624,0.029177455,0.142857143,0.153846154
4.87319E-4,23.001097296,0.22508048,0.028679546,0.142857143,0.153846154
4.97914E-4,23.297146875,0.229364515,0.028082055,0.142857143,0.153846154
5.09224E-4,23.549849789,0.23391156,0.027584147,0.166666667,0.153846154
5.15331E-4,23.755724354,0.236355751,0.02718582,0.166666667,0.153846154
5.39782E-4,24.021565508,0.246064107,0.026687911,0.166666667,0.153846154
5.54456E-4,24.296264079,0.251830821,0.026190002,0.166666667,0.153846154
5.73222E-4,24.522103765,0.259141618,0.025791675,0.166666667,0.153846154
5.79216E-4,24.752790412,0.261461484,0.025393348,0.166666667,0.153846154
5.9204E-4,25.046317839,0.266400917,0.024895439,0.166666667,0.153846154
6.01861E-4,25.286404836,0.27016116,0.024497112,0.166666667,0.153846154
6.05879E-4,25.528180226,0.271694049,0.024098785,0.166666667,0.153846154
6.13608E-4,25.772170405,0.274633358,0.023700458,0.19047619,0.153846154
6.27826E-4,26.021256138,0.280010053,0.023302131,0.19047619,0.153846154
6.42609E-4,26.275872035,0.285557838,0.022903804,0.19047619,0.153846154
6.538E-4,26.535158189,0.289729421,0.022505477,0.19047619,0.153846154
6.74021E-4,26.801846187,0.297205119,0.02210715,0.19047619,0.153846154
6.85502E-4,27.006408766,0.301414534,0.021808405,0.19047619,0.153846154
7.25574E-4,27.286989631,0.31590998,0.021410078,0.19047619,0.153846154
7.27426E-4,27.504956327,0.316572476,0.021111332,0.19047619,0.153846154
7.36691E-4,27.798486954,0.319877708,0.020713005,0.19047619,0.153846154
7.50973E-4,28.022168273,0.324941656,0.02041426,0.19047619,0.153846154
7.65964E-4,28.250172301,0.33021634,0.020115515,0.19047619,0.153846154
7.82108E-4,28.560687321,0.335850586,0.019717188,0.19047619,0.153846154
8.01407E-4,28.799966916,0.342523427,0.019418443,0.19047619,0.153846154
8.14522E-4,29.042796347,0.347020084,0.019119697,0.19047619,0.153846154
8.24177E-4,29.289213569,0.350310581,0.018820952,0.19047619,0.153846154
8.64624E-4,29.545298139,0.363916476,0.018522207,0.19047619,0.153846154
8.75773E-4,29.806605765,0.367616438,0.018223461,0.19047619,0.153846154
8.91992E-4,30.073218088,0.372960797,0.017924716,0.214285714,0.153846154
9.05986E-4,30.253437519,0.377535382,0.017725553,0.214285714,0.153846154
9.33358E-4,30.531325979,0.386387327,0.017426807,0.214285714,0.153846154
9.56699E-4,30.815631593,0.393836189,0.017128062,0.214285714,0.153846154
9.91206E-4,31.011782195,0.404682942,0.016928899,0.214285714,0.153846154
1.06051E-3,31.322484377,0.425885999,0.016630153,0.214285714,0.230769231
1.06409E-3,31.535287341,0.426959349,0.01643099,0.214285714,0.230769231
1.06853E-3,31.855115978,0.428288705,0.016132245,0.238095238,0.230769231
1.07458E-3,32.069747895,0.430096915,0.015933081,0.238095238,0.230769231
1.08858E-3,32.286339989,0.434255937,0.015733918,0.238095238,0.230769231
1.12173E-3,32.509915279,0.443984193,0.015534754,0.238095238,0.230769231
1.15613E-3,32.852415081,0.453904982,0.015236009,0.238095238,0.230769231
1.18133E-3,33.088085123,0.461056345,0.015036845,0.238095238,0.230769231
1.18693E-3,33.325329842,0.46263495,0.014837682,0.238095238,0.230769231
1.23998E-3,33.571531416,0.477344654,0.014638518,0.238095238,0.230769231
1.29847E-3,33.828064163,0.493100825,0.014439355,0.238095238,0.230769231
1.3427E-3,34.094578951,0.504696948,0.014240191,0.238095238,0.230769231
1.37643E-3,34.366843492,0.513361772,0.014041028,0.238095238,0.230769231
1.39516E-3,34.506359161,0.518107124,0.013941446,0.238095238,0.230769231
1.40642E-3,34.787518763,0.520939297,0.013742282,0.238095238,0.230769231
1.41049E-3,35.069578778,0.521957712,0.013543119,0.238095238,0.230769231
1.43329E-3,35.354742745,0.527626639,0.013343955,0.238095238,0.230769231
1.46185E-3,35.500927663,0.53463402,0.013244374,0.238095238,0.230769231
1.48455E-3,35.797675616,0.540128671,0.01304521,0.238095238,0.230769231
1.51816E-3,36.098587365,0.548146292,0.012846047,0.238095238,0.230769231
1.52865E-3,36.251452395,0.550619658,0.012746465,0.238095238,0.230769231
1.5346E-3,36.557861089,0.552016053,0.012547301,0.238095238,0.230769231
1.54508E-3,36.866545341,0.554466692,0.012348138,0.238095238,0.230769231
1.54634E-3,37.021179678,0.554760879,0.012248556,0.238095238,0.230769231
1.55266E-3,37.33165251,0.55622893,0.012049393,0.238095238,0.230769231
1.56578E-3,37.644401825,0.559265073,0.011850229,0.238095238,0.230769231
1.60799E-3,37.805200975,0.568894291,0.011750647,0.238095238,0.230769231
1.73298E-3,38.148138605,0.596187097,0.011551484,0.238095238,0.230769231
1.75349E-3,38.323487986,0.60049855,0.011451902,0.238095238,0.230769231
1.83167E-3,38.506654813,0.616510737,0.01135232,0.238095238,0.230769231
1.85387E-3,38.875523191,0.620940596,0.011153157,0.238095238,0.230769231
1.8937E-3,39.06489306,0.628758269,0.011053575,0.238095238,0.230769231
1.97855E-3,39.262748394,0.644881284,0.010953993,0.238095238,0.307692308
2.06928E-3,39.676339903,0.6613463,0.01075483,0.238095238,0.307692308
2.09309E-3,39.885648648,0.665538854,0.010655248,0.238095238,0.307692308
2.12584E-3,40.098232666,0.671222104,0.010555666,0.238095238,0.307692308
2.14451E-3,40.312683526,0.674418132,0.010456084,0.238095238,0.307692308
2.14782E-3,40.527465439,0.674981641,0.010356503,0.238095238,0.307692308
