Predictor variable,Categorical,Sample average
BioFinal_1,false,22.303385189601354
BioFinal_12,false,8.231599262782506
BioFinal_13,false,85.82679494222005
BioFinal_14,false,41.77587481907436
BioFinal_15,false,26.666366895039875
BioFinal_4,false,342.55867440359935
BioFinal_6,false,60.826700028919035
DEMFINAL,false,815.8571428571429
ForCoverFINAL,true,1.0
