variable,x,y
DEMFINAL,-525.6,1.0
DEMFINAL,-513.2496,1.0
DEMFINAL,-500.8992,1.0
DEMFINAL,-488.5488,1.0
DEMFINAL,-476.1984,1.0
DEMFINAL,-463.848,1.0
DEMFINAL,-451.49760000000003,1.0
DEMFINAL,-439.1472,1.0
DEMFINAL,-426.7968,1.0
DEMFINAL,-414.44640000000004,1.0
DEMFINAL,-402.096,1.0
DEMFINAL,-389.74559999999997,1.0
DEMFINAL,-377.39520000000005,1.0
DEMFINAL,-365.0448,1.0
DEMFINAL,-352.6944,1.0
DEMFINAL,-340.344,1.0
DEMFINAL,-327.9936,1.0
DEMFINAL,-315.6432,1.0
DEMFINAL,-303.2928,1.0
DEMFINAL,-290.9424,1.0
DEMFINAL,-278.592,1.0
DEMFINAL,-266.2416,1.0
DEMFINAL,-253.89119999999997,1.0
DEMFINAL,-241.5408,1.0
DEMFINAL,-229.1904,1.0
DEMFINAL,-216.83999999999997,1.0
DEMFINAL,-204.4896,1.0
DEMFINAL,-192.13919999999996,1.0
DEMFINAL,-179.78879999999998,1.0
DEMFINAL,-167.4384,1.0
DEMFINAL,-155.08799999999997,1.0
DEMFINAL,-142.7376,1.0
DEMFINAL,-130.38719999999995,1.0
DEMFINAL,-118.03679999999997,1.0
DEMFINAL,-105.68639999999999,1.0
DEMFINAL,-93.33599999999996,1.0
DEMFINAL,-80.98559999999998,1.0
DEMFINAL,-68.6352,1.0
DEMFINAL,-56.28479999999996,1.0
DEMFINAL,-43.93439999999998,1.0
DEMFINAL,-31.583999999999946,1.0
DEMFINAL,-19.233599999999967,1.0
DEMFINAL,-6.883199999999988,1.0
DEMFINAL,5.467200000000048,1.0
DEMFINAL,17.817600000000084,1.0
DEMFINAL,30.16800000000012,1.0
DEMFINAL,42.51840000000004,1.0
DEMFINAL,54.86880000000008,1.0
DEMFINAL,67.2192,1.0
DEMFINAL,79.56960000000004,1.0
DEMFINAL,91.92000000000007,1.0
DEMFINAL,104.2704,1.0
DEMFINAL,116.62080000000003,1.0
DEMFINAL,128.97120000000007,1.0
DEMFINAL,141.3216000000001,1.0
DEMFINAL,153.67200000000014,1.0
DEMFINAL,166.02240000000006,1.0
DEMFINAL,178.37279999999998,1.0
DEMFINAL,190.72320000000002,1.0
DEMFINAL,203.07360000000006,1.0
DEMFINAL,215.4240000000001,1.0
DEMFINAL,227.77440000000013,1.0
DEMFINAL,240.12480000000005,1.0
DEMFINAL,252.4752000000001,1.0
DEMFINAL,264.8256000000001,1.0
DEMFINAL,277.17600000000004,1.0
DEMFINAL,289.5264000000001,1.0
DEMFINAL,301.8768,0.9999999403953552
DEMFINAL,314.22720000000004,0.9999999403953552
DEMFINAL,326.5776000000001,0.9999999403953552
DEMFINAL,338.9280000000001,0.9999998807907104
DEMFINAL,351.27840000000015,0.9999998211860657
DEMFINAL,363.62880000000007,0.9999997019767761
DEMFINAL,375.9792,0.9999995827674866
DEMFINAL,388.3296,0.9999992847442627
DEMFINAL,400.68000000000006,0.9999988675117493
DEMFINAL,413.0304000000001,0.9999982714653015
DEMFINAL,425.38080000000014,0.9999973177909851
DEMFINAL,437.73120000000006,0.9999958276748657
DEMFINAL,450.0816000000001,0.9999937415122986
DEMFINAL,462.43200000000013,0.9999906420707703
DEMFINAL,474.78240000000017,0.9999862313270569
DEMFINAL,487.1328000000001,0.9999799132347107
DEMFINAL,499.4832,0.9999710917472839
DEMFINAL,511.83360000000005,0.999958872795105
DEMFINAL,524.1840000000003,0.9999421238899231
DEMFINAL,536.5344000000001,0.9999194741249084
DEMFINAL,548.8847999999999,0.9998890161514282
DEMFINAL,561.2352000000002,0.9998485445976257
DEMFINAL,573.5856,0.9997954368591309
DEMFINAL,585.9360000000003,0.9997262358665466
DEMFINAL,598.2864000000001,0.9996370673179626
DEMFINAL,610.6368000000001,0.9995231628417969
DEMFINAL,622.9872000000001,0.9993789196014404
DEMFINAL,635.3376000000002,0.9991979002952576
DEMFINAL,647.6880000000002,0.9989725351333618
DEMFINAL,660.0384,0.9986944198608398
DEMFINAL,672.3888000000001,0.9983538389205933
DEMFINAL,684.7392000000001,0.997939944267273
DEMFINAL,697.0896000000001,0.9974406957626343
DEMFINAL,709.4400000000002,0.9968429803848267
DEMFINAL,721.7904000000002,0.9961323142051697
DEMFINAL,734.1408,0.995293140411377
DEMFINAL,746.4912000000003,0.9943088293075562
DEMFINAL,758.8416000000001,0.993161678314209
DEMFINAL,771.1920000000001,0.9918331503868103
DEMFINAL,783.5424000000002,0.9903038740158081
DEMFINAL,795.8928,0.9885538816452026
DEMFINAL,808.2432000000002,0.9865627288818359
DEMFINAL,820.5936,0.9843096733093262
DEMFINAL,832.9440000000003,0.981774091720581
DEMFINAL,845.2944000000001,0.9789353609085083
DEMFINAL,857.6448000000001,0.9757732152938843
DEMFINAL,869.9952000000002,0.9722681045532227
DEMFINAL,882.3456,0.968401312828064
DEMFINAL,894.6960000000003,0.9641551375389099
DEMFINAL,907.0464000000001,0.9595131278038025
DEMFINAL,919.3968000000003,0.9544603228569031
DEMFINAL,931.7472000000001,0.9489834904670715
DEMFINAL,944.0976000000002,0.9430711269378662
DEMFINAL,956.4480000000002,0.9367137551307678
DEMFINAL,968.7984,0.9299039244651794
DEMFINAL,981.1488000000003,0.9226364493370056
DEMFINAL,993.4992000000001,0.9149083495140076
DEMFINAL,1005.8496000000001,0.9067188501358032
DEMFINAL,1018.2000000000002,0.8980696797370911
DEMFINAL,1030.5504,0.8889647126197815
DEMFINAL,1042.9008000000003,0.8794102668762207
DEMFINAL,1055.2512000000002,0.8694145679473877
DEMFINAL,1067.6016,0.858988344669342
DEMFINAL,1079.9520000000002,0.8481441140174866
DEMFINAL,1092.3024,0.8368964791297913
DEMFINAL,1104.6528000000003,0.8252615928649902
DEMFINAL,1117.0032,0.81325763463974
DEMFINAL,1129.3536,0.800903856754303
DEMFINAL,1141.7040000000002,0.7882211804389954
DEMFINAL,1154.0544,0.7752314209938049
DEMFINAL,1166.4048000000003,0.7619577050209045
DEMFINAL,1178.7552,0.7484235763549805
DEMFINAL,1191.1055999999999,0.7346535921096802
DEMFINAL,1203.4560000000001,0.7206724882125854
DEMFINAL,1215.8064,0.7065056562423706
DEMFINAL,1228.1568000000002,0.6921781897544861
DEMFINAL,1240.5072,0.6781412363052368
DEMFINAL,1252.8576000000003,0.6649729609489441
DEMFINAL,1265.208,0.6518372297286987
DEMFINAL,1277.5584,0.6386419534683228
DEMFINAL,1289.9088000000002,0.6254042983055115
DEMFINAL,1302.2592,0.6121416091918945
DEMFINAL,1314.6096000000002,0.5988704562187195
DEMFINAL,1326.96,0.5856074094772339
DEMFINAL,1339.3104000000003,0.5723679661750793
DEMFINAL,1351.6608,0.559167742729187
DEMFINAL,1364.0112000000004,0.5460212230682373
DEMFINAL,1376.3616000000002,0.5329427719116211
DEMFINAL,1388.712,0.5199457406997681
DEMFINAL,1401.0624000000003,0.507043182849884
DEMFINAL,1413.4128,0.49424704909324646
DEMFINAL,1425.7632000000003,0.48156923055648804
DEMFINAL,1438.1136000000001,0.469020277261734
DEMFINAL,1450.4640000000004,0.45661064982414246
DEMFINAL,1462.8144000000002,0.44434958696365356
DEMFINAL,1475.1648000000005,0.4322461187839508
DEMFINAL,1487.5152000000003,0.4203081727027893
DEMFINAL,1499.8656,0.4085433781147003
DEMFINAL,1512.2160000000003,0.39695850014686584
DEMFINAL,1524.5664000000002,0.3855594992637634
DEMFINAL,1536.9168000000004,0.3743521273136139
DEMFINAL,1549.2672000000002,0.3633411228656769
DEMFINAL,1561.6176000000005,0.35253095626831055
DEMFINAL,1573.9680000000008,0.3419252038002014
DEMFINAL,1586.3184000000006,0.3315271735191345
DEMFINAL,1598.6688000000004,0.32133936882019043
DEMFINAL,1611.0192000000002,0.311364084482193
DEMFINAL,1623.3696,0.3016028106212616
DEMFINAL,1635.7200000000007,0.2920568883419037
DEMFINAL,1648.0704000000005,0.28272688388824463
DEMFINAL,1660.4208000000003,0.2736133337020874
DEMFINAL,1672.7712000000001,0.2647159695625305
DEMFINAL,1685.1216000000004,0.2560345530509949
DEMFINAL,1697.4720000000007,0.24756810069084167
DEMFINAL,1709.8224000000005,0.2393157035112381
DEMFINAL,1722.1728000000003,0.23127581179141998
DEMFINAL,1734.5232,0.22344687581062317
DEMFINAL,1746.8736000000004,0.21582680940628052
DEMFINAL,1759.2240000000006,0.20841360092163086
DEMFINAL,1771.5744000000004,0.20120477676391602
DEMFINAL,1783.9248000000002,0.19419768452644348
DEMFINAL,1796.2752000000005,0.18738968670368195
DEMFINAL,1808.6256000000003,0.18077772855758667
DEMFINAL,1820.9760000000006,0.17435887455940247
DEMFINAL,1833.3264000000004,0.16812977194786072
DEMFINAL,1845.6768000000002,0.16208726167678833
DEMFINAL,1858.0272000000004,0.15622778236865997
