Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.48016E-4,16.270201965,0.120699421,0.047799243,0.142857143,0.153846154
2.5565E-4,16.52189179,0.124173663,0.046803426,0.142857143,0.153846154
2.63832E-4,16.757553037,0.127882246,0.04590719,0.142857143,0.153846154
2.695E-4,17.02356503,0.13044212,0.044911372,0.142857143,0.153846154
2.78217E-4,17.27067768,0.134364614,0.044015136,0.142857143,0.153846154
2.85223E-4,17.524775333,0.137504007,0.043118901,0.142857143,0.153846154
2.90006E-4,17.754711581,0.139640954,0.042322247,0.142857143,0.153846154
2.94274E-4,18.018173531,0.141543315,0.041426011,0.142857143,0.153846154
3.00114E-4,18.256235556,0.144139619,0.040629357,0.142857143,0.153846154
3.12277E-4,18.50083554,0.149521245,0.039832703,0.142857143,0.153846154
3.25931E-4,18.756717506,0.155522591,0.039036049,0.142857143,0.153846154
3.31456E-4,19.019953977,0.157938857,0.038239395,0.142857143,0.153846154
3.43356E-4,19.256444298,0.163120074,0.037542322,0.142857143,0.153846154
3.52168E-4,19.50118736,0.166936015,0.03684525,0.142857143,0.153846154
3.63603E-4,19.751443597,0.171861814,0.036148178,0.142857143,0.153846154
3.72166E-4,20.008892203,0.175531259,0.035451105,0.142857143,0.153846154
3.79422E-4,20.271732869,0.178628165,0.034754033,0.142857143,0.153846154
3.88237E-4,20.501853691,0.18237478,0.034156543,0.142857143,0.153846154
3.93435E-4,20.7758722,0.184575838,0.03345947,0.142857143,0.153846154
4.02763E-4,21.016172013,0.188511371,0.03286198,0.142857143,0.153846154
4.09729E-4,21.260912106,0.191437827,0.032264489,0.142857143,0.153846154
4.18488E-4,21.509294451,0.195102191,0.031666999,0.142857143,0.153846154
4.28382E-4,21.764117342,0.199221812,0.031069508,0.142857143,0.153846154
4.4889E-4,22.027099991,0.207693918,0.030472018,0.142857143,0.153846154
4.63262E-4,22.255425475,0.213577634,0.029974109,0.142857143,0.153846154
4.70492E-4,22.537244617,0.216521037,0.029376618,0.166666667,0.153846154
4.76853E-4,22.774427753,0.219101367,0.028878709,0.166666667,0.153846154
4.85079E-4,23.015635733,0.222425853,0.028380801,0.166666667,0.153846154
5.01218E-4,23.26315057,0.228907068,0.027882892,0.166666667,0.153846154
5.05423E-4,23.515310976,0.230586785,0.027384983,0.19047619,0.153846154
5.1358E-4,23.771289843,0.233835011,0.026887074,0.19047619,0.153846154
5.21572E-4,24.030530959,0.237004213,0.026389166,0.19047619,0.153846154
5.28259E-4,24.29331131,0.239645502,0.025891257,0.19047619,0.153846154
5.34225E-4,24.505603313,0.241994606,0.02549293,0.19047619,0.153846154
5.50127E-4,24.776673325,0.248220475,0.024995021,0.19047619,0.153846154
5.81347E-4,25.003212332,0.260294844,0.024596694,0.19047619,0.153846154
5.97241E-4,25.297716436,0.266367275,0.024098785,0.19047619,0.153846154
6.1443E-4,25.541629401,0.272878125,0.023700458,0.19047619,0.153846154
6.23025E-4,25.78937704,0.276112425,0.023302131,0.19047619,0.153846154
6.33817E-4,26.041306175,0.28015265,0.022903804,0.19047619,0.153846154
6.46196E-4,26.298677543,0.284759453,0.022505477,0.19047619,0.153846154
6.63471E-4,26.561605525,0.291138884,0.02210715,0.19047619,0.153846154
6.75948E-4,26.762570456,0.295710936,0.021808405,0.19047619,0.153846154
6.97384E-4,27.038316558,0.303497264,0.021410078,0.19047619,0.153846154
7.05156E-4,27.319769915,0.306299363,0.021011751,0.19047619,0.153846154
7.14188E-4,27.533323361,0.309540968,0.020713005,0.19047619,0.153846154
7.26813E-4,27.820355563,0.314047353,0.020314678,0.19047619,0.153846154
7.37125E-4,28.039926937,0.317705956,0.020015933,0.19047619,0.153846154
7.55103E-4,28.264157186,0.324038178,0.019717188,0.19047619,0.153846154
7.86808E-4,28.572451584,0.335062209,0.019318861,0.19047619,0.153846154
8.05863E-4,28.814035452,0.341600919,0.019020116,0.19047619,0.153846154
8.18082E-4,29.057652514,0.345760082,0.01872137,0.19047619,0.153846154
8.45482E-4,29.308248492,0.354991563,0.018422625,0.19047619,0.153846154
8.54586E-4,29.563386183,0.35802992,0.01812388,0.19047619,0.153846154
8.75141E-4,29.823624684,0.364837103,0.017825134,0.19047619,0.153846154
8.8762E-4,30.000197609,0.368934687,0.017625971,0.214285714,0.153846154
9.1737E-4,30.257615565,0.378596851,0.017327226,0.214285714,0.153846154
9.26772E-4,30.549343384,0.381619459,0.01702848,0.214285714,0.230769231
9.55332E-4,30.833720649,0.390711351,0.016729735,0.214285714,0.230769231
9.693E-4,31.026966334,0.395109257,0.016530572,0.238095238,0.230769231
9.88896E-4,31.322034365,0.401225722,0.016231826,0.238095238,0.230769231
1.00725E-3,31.522067547,0.406898473,0.016032663,0.238095238,0.230769231
1.01571E-3,31.82583991,0.409494522,0.015733918,0.238095238,0.230769231
1.04406E-3,32.033622285,0.418114602,0.015534754,0.238095238,0.230769231
1.07178E-3,32.352070411,0.426419805,0.015236009,0.238095238,0.230769231
