x,y,raw,cumulative,Cloglog
-76.71717688656541,7.522495836295524,2.27643E-6,0.214404501,0.001179927
-74.20051021983942,8.764162502991457,6.36852E-8,0.004337076,0.000033028
-70.5838435530875,-1.9941708305954617,9.40186E-6,1.414967006,0.004864214
-74.19217688650589,0.13916250278815667,4.83338E-6,0.654330348,0.002503592
-75.98384355321478,5.530829169581911,2.34659E-5,2.76204251,0.012096325
-69.37551021972568,3.5641625028688884,6.46753E-7,0.045393587,0.000335369
-72.25884355312698,3.4391625028659414,1.35032E-8,0.000393561,0.000007003
-78.31717688660312,-3.0025041639525627,1.36576E-5,1.97297428,0.007058226
-72.30051021979463,-0.9025041639030631,4.39831E-6,0.569023978,0.002278493
-77.39217688658132,-0.21083749722009326,2.9709E-4,18.136629905,0.142796066
-74.94217688652357,9.889162503017975,2.01357E-8,0.000877774,0.000010443
-77.05884355324012,6.62249583627431,5.11131E-8,0.003423779,0.000026508
-77.52551021991779,-0.4691708305595155,1.07319E-4,9.057388324,0.054138138
-72.96717688647702,-1.844170830591926,2.20744E-6,0.206320759,0.001144188
-71.95884355311992,6.105829169595464,4.93087E-6,0.67920806,0.002554027
-71.12551021976694,-1.0025041639054209,7.62404E-6,1.13531202,0.003946245
-76.76717688656659,1.4058291694846803,9.54489E-5,8.260882233,0.048297322
-74.10884355317059,1.2974958361487934,1.7362E-6,0.155560746,0.000900041
-76.93384355323718,6.855829169613142,5.33669E-8,0.003575265,0.000027677
-71.92551021978579,5.022495836236595,3.50057E-8,0.002102646,0.000018155
-76.01717688654891,-1.669170830587801,7.65567E-6,1.142191046,0.003962586
-70.78384355309223,6.647495836274898,8.02744E-8,0.005385157,0.000041632
-76.42551021989186,1.6558291694905725,7.10698E-5,6.368880966,0.036187877
-79.44217688662964,-2.74417083061314,1.3251E-7,0.008625211,0.000068721
-72.6255102198023,1.6641625028241025,4.87348E-7,0.032459175,0.000252721
-76.6588435532307,3.1974958361935775,1.18216E-5,1.76431694,0.006112269
-73.6338435531594,0.4891625027964066,3.59912E-6,0.420231905,0.001864867
-73.75051021982881,1.4224958361517395,7.22954E-6,1.055167088,0.003742431
-69.80884355306924,2.2558291695047155,1.60658E-6,0.141173641,0.00083287
-79.35051021996081,0.3391625027928704,1.38973E-4,11.05898617,0.069539202
-74.08384355317,5.405829169578964,1.0014E-4,8.613768036,0.050610039
-73.70051021982763,7.072495836284916,8.57384E-8,0.005774483,0.000044465
-76.00884355321537,6.947495836281971,1.11914E-4,9.319504636,0.056389694
-72.63384355313582,0.0808291694534482,2.92874E-6,0.308719395,0.001517779
-79.78384355330437,-2.3525041639372413,9.02927E-7,0.069202827,0.000468175
-74.07551021983647,1.964162502831174,2.19816E-6,0.205219158,0.00113938
